x,y,z,rx,ry,rz
49176,-46481,242203,-164996,52505,156451
44563,-43402,155967,145704,60428,97007
34431,23979,278334,-175618,61142,135694
46291,33715,277283,-118424,25697,-142037
26494,-109629,244076,144501,23288,68409
42654,-104988,247806,172447,48990,131956
36989,-106785,253724,138433,21644,71034
18096,-108283,253331,174138,53718,125924
50266,-21582,227685,-162456,51775,151241
53360,-20686,172477,175498,61451,122531
53757,-23224,168912,124862,34953,59800
45029,-36059,209271,131552,-18618,21514
42998,-41645,208143,142025,42905,74451
55658,-36640,207123,-142608,49983,178101
84456,-77548,155532,-137282,57495,-179893
80542,-79498,151482,152970,58817,98310
28083,-51017,295384,142992,46386,103291
26622,-54831,288478,126270,27310,75678
70782,-70812,264527,133423,-6776,32466
73255,-75021,210064,143091,44747,82325
52418,-42379,212412,-146415,53361,179498
53350,-49111,216494,-128243,53350,-165534
60824,-40623,199452,-116566,35457,-141729
49711,-46791,180612,152763,61110,105681
26089,-25219,295287,158533,58466,109691
