png_names,points_collection,bcT_collection
7,"[[0.40988909 0.11506403 0.09758419 1.        ]
 [0.40996127 0.11612087 0.0986425  1.        ]
 [0.40978547 0.1178943  0.09862021 1.        ]
 ...
 [0.48425245 0.03871363 0.09410216 1.        ]
 [0.52087282 0.02236213 0.09247389 1.        ]
 [0.48441338 0.03709023 0.09412256 1.        ]]","[[ 0.0986418  -0.96702757  0.23479262  0.39484602]
 [-0.99504442 -0.09881433  0.01105995  0.0421941 ]
 [ 0.0125056  -0.23472006 -0.97198261  0.41205699]
 [ 0.          0.          0.          1.        ]]"
2,"[[0.38438073 0.11787813 0.08062393 1.        ]
 [0.38442227 0.11978765 0.08143853 1.        ]
 [0.38444304 0.12074241 0.08184582 1.        ]
 ...
 [0.41504935 0.09077015 0.08954402 1.        ]
 [0.41414844 0.0885561  0.08916061 1.        ]
 [0.41411036 0.08680571 0.0884139  1.        ]]","[[-0.02000602 -0.53973828  0.84159518  0.13124864]
 [-0.91961659  0.34023021  0.19633833  0.02006672]
 [-0.39230738 -0.77001694 -0.50315893  0.24510705]
 [ 0.          0.          0.          1.        ]]"
3,"[[ 0.38903069  0.11572881  0.08548781  1.        ]
 [ 0.38649394  0.11235207  0.077882    1.        ]
 [ 0.38746824  0.11338493  0.08059851  1.        ]
 ...
 [ 0.48174985 -0.07119864  0.02003148  1.        ]
 [ 0.43786125  0.11899181  0.09518312  1.        ]
 [ 0.43474203  0.1171829   0.09466215  1.        ]]","[[-0.31785843 -0.4378929   0.8409613   0.15336419]
 [-0.33696222  0.88122927  0.3314989  -0.05323917]
 [-0.88624065 -0.17800247 -0.42765951  0.21596759]
 [ 0.          0.          0.          1.        ]]"
6,"[[ 0.396825    0.11410864  0.09531472  1.        ]
 [ 0.3966581   0.11714392  0.09549863  1.        ]
 [ 0.39660247  0.11815568  0.09555994  1.        ]
 ...
 [ 0.49405485 -0.04520621  0.06520508  1.        ]
 [ 0.46138196  0.14482857  0.1090535   1.        ]
 [ 0.4620409   0.14185598  0.10800103  1.        ]]","[[ 0.05480416 -0.86334414  0.50163084  0.30282013]
 [-0.99666917 -0.01691405  0.07977773  0.04578907]
 [-0.06039102 -0.50433214 -0.86139544  0.39180329]
 [ 0.          0.          0.          1.        ]]"
4,"[[ 0.38109602  0.09029033  0.08374489  1.        ]
 [ 0.38205436  0.08548569  0.08237873  1.        ]
 [ 0.38216756  0.08608251  0.08244022  1.        ]
 ...
 [ 0.51839595 -0.1347376   0.04556928  1.        ]
 [ 0.54177825 -0.00754462  0.09012024  1.        ]
 [ 0.43247258  0.09276803  0.10474101  1.        ]]","[[-0.18540943 -0.595089    0.78197987  0.19727982]
 [-0.97748662  0.19325046 -0.08470044  0.07951534]
 [-0.10071366 -0.78007912 -0.617522    0.24919989]
 [ 0.          0.          0.          1.        ]]"
11,"[[0.36987064 0.06149913 0.06636679 1.        ]
 [0.36988102 0.06222994 0.06585912 1.        ]
 [0.3698914  0.06296075 0.06535146 1.        ]
 ...
 [0.42990563 0.12929804 0.11043836 1.        ]
 [0.39357462 0.11186184 0.09372376 1.        ]
 [0.39887006 0.07206873 0.0880497  1.        ]]","[[-0.01166381 -0.73802338  0.67467439  0.25611453]
 [-0.82123259 -0.37786654 -0.42754408  0.21223227]
 [ 0.57047436 -0.55905139 -0.60168148  0.19069607]
 [ 0.          0.          0.          1.        ]]"
5,"[[ 0.37930897  0.06518273  0.0774885   1.        ]
 [ 0.37930948  0.06607154  0.07713694  1.        ]
 [ 0.37919608  0.06797067  0.07622111  1.        ]
 ...
 [ 0.4857447  -0.05860774  0.0623158   1.        ]
 [ 0.48892233 -0.06309883  0.06148209  1.        ]
 [ 0.48971674 -0.06422928  0.06127669  1.        ]]","[[-5.39045761e-04 -5.99010094e-01  8.00741348e-01  2.05207465e-01]
 [-9.29900909e-01 -2.94220297e-01 -2.20723193e-01  1.44611784e-01]
 [ 3.67809745e-01 -7.44729087e-01 -5.56861433e-01  2.12275900e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
1,"[[0.39250273 0.1301345  0.09182262 1.        ]
 [0.39271082 0.13105172 0.09232835 1.        ]
 [0.39323106 0.13334477 0.09359269 1.        ]
 ...
 [0.4433474  0.03667455 0.06946406 1.        ]
 [0.49079052 0.08843514 0.09738833 1.        ]
 [0.44383716 0.03575639 0.06820911 1.        ]]","[[-1.94867563e-01 -6.37665836e-01  7.45257675e-01  1.84519901e-01]
 [-8.58917756e-01  4.77820025e-01  1.84250743e-01  4.23910437e-04]
 [-4.73589402e-01 -6.04210556e-01 -6.40814132e-01  3.18253268e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
10,"[[0.37619824 0.06910191 0.07732193 1.        ]
 [0.37615064 0.06992497 0.0767994  1.        ]
 [0.37640357 0.07311676 0.07536733 1.        ]
 ...
 [0.45006882 0.03640688 0.09105875 1.        ]
 [0.40205234 0.09013    0.10074025 1.        ]
 [0.45239472 0.03353205 0.09048902 1.        ]]","[[-0.04593317 -0.64267183  0.76476346  0.22928788]
 [-0.8981599  -0.30854011 -0.31322805  0.16791848]
 [ 0.43726301 -0.70126743 -0.56304984  0.20820948]
 [ 0.          0.          0.          1.        ]]"
9,"[[0.37862866 0.11669363 0.08001283 1.        ]
 [0.37963236 0.11674944 0.08172729 1.        ]
 [0.38572329 0.11947051 0.08823914 1.        ]
 ...
 [0.41344731 0.02627772 0.03988555 1.        ]
 [0.40552447 0.08086501 0.07692459 1.        ]
 [0.38712267 0.07154248 0.06489359 1.        ]]","[[-0.50502069 -0.48357866  0.71491668  0.23847434]
 [-0.02807891  0.83707237  0.54637122 -0.10392891]
 [-0.86265038  0.25585469 -0.43631723  0.1883275 ]
 [ 0.          0.          0.          1.        ]]"
8,"[[ 0.75720122  0.12396089 -0.0249627   1.        ]
 [ 0.7594596   0.12385668 -0.02574509  1.        ]
 [ 0.76123899  0.12256659 -0.02653285  1.        ]
 ...
 [ 0.39309184  0.10172902  0.08052017  1.        ]
 [ 0.42698321  0.08705936  0.07070385  1.        ]
 [ 0.52442694 -0.03987756  0.02416267  1.        ]]","[[-0.44735665  0.31051934  0.83871917  0.22391212]
 [ 0.85172155 -0.13817485  0.50544844 -0.08577963]
 [ 0.27284138  0.94047092 -0.20266258  0.12655633]
 [ 0.          0.          0.          1.        ]]"
